unique_gap_id,normalized_target_url,target_url,target_page_id,target_page_title,target_page_role,target_page_role_confidence,anchor_text_primary,anchor_text_variants,source_category_titles,source_category_roles,occurrence_count,inbound_link_count,gap_classification,proposed_entity_type,classification_confidence,classification_reasons,review_flags,requires_admin_review,existing_provisional_entity_id,existing_provisional_entity_name,existing_provisional_entity_type,main_text_excerpt,identity_safeguard,consolidated_at
dst_gap_27f908658d740a1a73b7,https://dst.gov.in/,https://dst.gov.in/,dst_page_ff9159671a474201220d,Page not found,BROKEN_OFFICIAL_LINK,0.9900,Department of Science & Technology (DST),Department of Science & Technology (DST),Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,1251,NON_SCHEME_PAGE,NON_SCHEME,0.9900,CLASSIFIER_ROLE_BROKEN_OFFICIAL_LINK,,0,,,,,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:21+00:00
dst_gap_8e14cd0e2b07daac6817,https://dst.gov.in/covid-19-oms-and-guidelines,https://dst.gov.in/covid-19-oms-and-guidelines,dst_page_8e14cd0e2b07daac6817,COVID 19- OMs and Guidelines,GUIDELINE_PAGE,0.9900,COVID 19- OMs and Guidelines,COVID 19- OMs and Guidelines,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,417,SUPPORTING_PAGE,SUPPORTING,0.9900,CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,"COVID 19- OMs and Guidelines COVID-19 Related Initiatives and Activities of DST & Its Autonomous Institutions 3.66 MB Guidance for evaluation of novel applications for COVID-19 by the Indian Council of Medical Research, Department of Health Research 474.8 KB Disinfection services for prevention of corona COVID 10 Virus (letter to Secy. Central Ministries, GOI) 407.56 KB MHA Order Dt. 29.3.2020 on Disaster Management Act 2005 2.11 MB DOletter_ Home Secretary Dt 24.3.2020 409.81 KB DOPT Guidelines for Workplaces reg COVID-19 Dt 26.03.2020 346.02 KB Annexure_MHA Order Dt 24.03.2020 2.67 MB DOPT O",DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:22+00:00
dst_gap_f7e0fcfc0157f2f226b1,https://dst.gov.in/ethical-guidelines,https://dst.gov.in/ethical-guidelines,dst_page_f7e0fcfc0157f2f226b1,Ethical Guidelines,GUIDELINE_PAGE,0.9900,Ethical Guidelines,Ethical Guidelines,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,417,SUPPORTING_PAGE,SUPPORTING,0.9900,CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,Ethical Guidelines Policy on Conflict of Interest,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:22+00:00
dst_gap_e15a35430063a0d0175f,https://dst.gov.in/how-apply-project-support,https://dst.gov.in/how-apply-project-support,dst_page_e15a35430063a0d0175f,How to Apply for Project Support,APPLICATION_GUIDANCE,0.6914,How to Apply for Project Support,How to Apply for Project Support,Programmes & Initiatives,PROGRAMME_CATEGORY_INDEX,1,7,SUPPORTING_PAGE,SUPPORTING,0.8200,CLASSIFIER_ROLE_APPLICATION_GUIDANCE,,0,,,,"How to Apply for Project Support The call for proposal under the schemes and programs of SEED division is primarily an annual call. The priorities and commitments of the advertised call are articulated in the Call for Proposals on DST’s website. The format and call guidelines detailing eligibility conditions, criteria for evaluation and evaluation procedure are part of call document. Applicants are required to submit a soft copy of the proposal through http://onlinedst.gov.in in the prescribed format.",DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:22+00:00
dst_gap_b532de15ce003731615b,https://dst.gov.in/ngcma,https://dst.gov.in/ngcma,dst_page_b532de15ce003731615b,NGCMA Home,PROGRAMME_CATEGORY_INDEX,0.4900,Good Laboratory Practice,Good Laboratory Practice,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,419,NAVIGATION_OR_INDEX_LINK,INDEX,0.8800,CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,"NGCMA Home A number of countries require manufacturers of chemicals viz. Industrial chemicals, Pharmaceuticals (Human and Veterinary), Agrochemicals, Cosmetics Products, Food/ Feed Additives and Medical devices, etc., to establish through data that use of these chemicals does not pose any hazards to human health and the environment. Non-hazardous nature needs to be established through studies and data, which will be examined by the regulatory authorities of the concerned countries. Good Laboratory Practice (GLP) is a system, which has been evolved by Organisation for Economic Co-operation and ",DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:23+00:00
dst_gap_2724bbad35f4f5d35f11,https://dst.gov.in/oecd-test-guidelines-testing-chemicals,https://dst.gov.in/oecd-test-guidelines-testing-chemicals,dst_page_2724bbad35f4f5d35f11,OECD Test Guidelines,GUIDELINE_PAGE,0.9900,OECD Test Guidelines,OECD Test Guidelines,NGCMA Home,PROGRAMME_CATEGORY_INDEX,1,3,SUPPORTING_PAGE,SUPPORTING,0.9900,CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,"OECD Test Guidelines OECD Guidelines for Testing of Chemicals To procure the OECD Test Guidelines may please contact :- OECD Environment Directorate, Environmental Health and Safety Divison 2 rue Andre` - Pascal 75775 Paris Cedex 16 France Website :- www.oecd.org",DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:23+00:00
dst_gap_8325ba2fba506d3e39b6,https://dst.gov.in/oms-and-guidelines,https://dst.gov.in/oms-and-guidelines,dst_page_8325ba2fba506d3e39b6,OMs and Guidelines,GUIDELINE_PAGE,0.9900,OMs and Guidelines,OMs and Guidelines,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,417,SUPPORTING_PAGE,SUPPORTING,0.9900,CLASSIFIER_ROLE_GUIDELINE_PAGE,,0,,,,"OMs and Guidelines OM on Empanelment of retired officers as Inquiry Officers for conducting Department Inquiries in the Department of Science & Technology OM on Good practices in public Administration OM dated 09.03.2026 Gazette Notification AO Gazette Notification_COO_CFO SFR RDI FUND Gazzette Notification Publication of Special Financial Rules 2026 for utilization of the amounts in the Research Development and Innovation(RDI) Fund in the official Gazette - reg. OM ""Paripoorna Mediclaim Ayush Bima for CGHS beneficiaries"" OM ""Revised guidelines of project implementation and manpower emoluments",DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:23+00:00
dst_gap_824660a371103de5f789,https://dst.gov.in/programmes-innitiatives,https://dst.gov.in/programmes-innitiatives,dst_page_824660a371103de5f789,Programmes & Initiatives,PROGRAMME_CATEGORY_INDEX,0.9900,Programmes & Initiatives,Programmes & Initiatives,Programmes & Initiatives,PROGRAMME_CATEGORY_INDEX,1,7,NAVIGATION_OR_INDEX_LINK,INDEX,0.9900,CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,"Programmes & Initiatives 1. Strengthening, Upscaling & Nurturing Local Innovations for Livelihood (SUNIL) programme SUNIL programme aims to strengthen the livelihood efficiency of Economically Weaker Section (EWS) of society through technology delivery & social enterprise creation. Focus of the programme is not only limited to the deployment of many field-tested models and location-specific technologies to meet the needs of citizens, it also encourages improving their S&T knowledge, skill enhancement, capacity building and socio-economic conditions. The programme covers majorly (but not limite",DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:23+00:00
dst_gap_33d65148544def46d3c9,https://dst.gov.in/sanctioned-projects,https://dst.gov.in/sanctioned-projects,dst_page_33d65148544def46d3c9,Sanctioned Projects,SANCTIONED_PROJECT_EVIDENCE,0.9900,Sanctioned Projects,Sanctioned Projects,Programmes & Initiatives,PROGRAMME_CATEGORY_INDEX,1,7,SUPPORTING_PAGE,SUPPORTING,0.9900,CLASSIFIER_ROLE_SANCTIONED_PROJECT_EVIDENCE,,0,,,,Sanctioned Projects SANCTIONED PROJECTS (2011-2024) S&T for Women 2017-18 15.62 KB 2018-19 125.49 KB 2019-20 385.35 KB 2020-21 164.46 KB 2021-22 144.69 KB 2023-24 390.52 KB STAWS scheme TIASN and SYSP 2017-18 105.02 KB 2018-19 583.99 KB 2019-20 587.42 KB SCSP Scheme 2016-17 173.04 KB 2017-18 22.57 KB 2018-19 88.21 KB 2019-20 140.23 KB 2020-21 299.66 KB 2021-22 0 bytes 2022-23 400.08 KB 2023-24 436 KB TSP Scheme 2017-18 19.75 KB 2018-19 139.33 KB 2019-20 304.21 KB 2020-21 406.68 KB 2021-22 344.74 KB 2022-23 283.91 KB 2023-24 436.24 KB * STARD ---- SUNIL (Earlier TARA) **(core support) 2017-18 1,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:23+00:00
dst_gap_84ab411978e6f5a6d506,https://dst.gov.in/science-and-technology-training-cell,https://dst.gov.in/science-and-technology-training-cell,dst_page_84ab411978e6f5a6d506,Science and Technology Training Cell,PROGRAMME_CATEGORY_INDEX,0.4900,Science and Technology Training Cell,Science and Technology Training Cell,Home Page | Long Term Core Support - Technological Advancement for Rural Areas (TARA) | NGCMA Home | Programmes & Initiatives | Schemes/ Programmes | Science and Technology Training Cell | Technical Research Centres | Vision & Mission,PROGRAMME_CATEGORY_INDEX | SCHEME_CATEGORY_INDEX,8,418,NAVIGATION_OR_INDEX_LINK,INDEX,0.8800,CLASSIFIER_ROLE_PROGRAMME_CATEGORY_INDEX,,0,,,,Science and Technology Training Cell The department in close consultation with the Department of Personnel and Training and Planning Commission conducts training programmes for scientists and technologists working in Govt. sector. National Programme for Training of Scientists & Technologists working in Govt. Sector Training Calendar 2025-26 Nomination Proforma (New) Letter - Uploading of UC in PFMS website-reg. UC Manual for Agencies - Utilisation Certificate Module Annual Capacity Building Plan Scientists and Officers of DST,DISCOVERY_CANDIDATE_ONLY_NO_CANONICAL_IDENTITY_CREATED,2026-07-10T10:40:23+00:00
