"master_id","scheme_name","normalized_record_kind","record_kind","source","ministry","department","programme_status","application_status","official_page_url"
"b1_d609e0f5ca82fb6e6416","Schemes","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Ministry of MSME - Schemes","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.msme.gov.in/schemes"
"b1_0ef15a88db817bcdd2b9","Sitemap.Xml","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","myScheme - National Scheme Discovery Platform","Ministry of Electronics and Information Technology","Digital India Corporation","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.myscheme.gov.in/sitemap.xml"
"b1_0d0b5796ed528f890f2d","Sitemap.Xml","APPLICATION_CALL","APPLICATION_CALL","MSME Champions Portal","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://champions.gov.in/sitemap.xml"
"b1_ee767f73e3c7dc192c82","Angel And Venture Funding.Html","FUND","FUND","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/angel_and_venture_funding.html"
"b1_08b10de5b708d93fcf97","Incubationsupport.Html","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/incubationsupport.html"
"b1_3384419c8227bfb23274","Seedfundingsupport.Html","FUND","FUND","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/seedfundingsupport.html"
"b1_45684abc149163279b88","Government Schemes.Html","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/reources/government-schemes.html"
"b1_b1347dfef953b2f37cb9","Search.Html","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/search.html?roles=Incubator"
"b1_196ff6953f2be52364bb","International.Html","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/startup-scheme/international.html"
"b1_a65fb32d75c063a5384e","Academia%20Incubator%20Engagement.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Academia%20Incubator%20engagement.pdf"
